Country,Continent,Population,Deaths_All_Ages_2000,Deaths_All_Ages_2019
Afghanistan,Asia,38928341,45132,28168
Albania,Europe,2877800,1514,724
Algeria,Africa,43851043,912,66
Andorra,Europe,77265,0,0
Angola,Africa,32866268,19934,8726
Antigua and Barbuda,North America,97928,1,0
Argentina,South America,45195777,2097,708
Armenia,Europe,2963234,892,78
Australia,Oceania,25499881,56,13
Austria,Europe,9006400,27,9
Azerbaijan,Europe,10139175,3253,666
Bahamas,North America,393248,4,2
Bahrain,Asia,1701583,8,2
Bangladesh,Asia,164689383,129081,94789
Barbados,North America,287371,0,0
Belarus,Europe,9449321,665,96
Belgium,Europe,11589616,21,6
Belize,North America,397621,47,30
Benin,Africa,12123198,9293,9891
Bhutan,Asia,771612,640,352
Bolivia,South America,11673029,3480,2276
Bosnia and Herzegovina,Europe,3280815,2254,1148
Botswana,Africa,2351625,1117,636
Brazil,South America,212559409,32814,14016
Brunei,Asia,437479,3,1
Bulgaria,Europe,6948445,3487,1812
Burkina Faso,Africa,20903278,19908,24303
Burma,Asia,54409800,0,0
Burundi,Africa,11890781,9367,10004
Cabo Verde,Africa,548800,0,0
Cambodia,Asia,16718971,18037,14034
Cameroon,Africa,26545864,13507,12068
Canada,North America,37742157,70,8
Central African Republic,Africa,4829764,6710,6961
Chad,Africa,16425859,16742,19066
Chile,South America,19116209,942,330
China,Asia,1439323774,967080,363029
Colombia,South America,50882884,5855,2454
Comoros,Africa,869595,734,552
Congo,Africa,5518092,2779,1638
Costa Rica,North America,5094114,231,104
Croatia,Europe,4105268,503,169
Cuba,North America,11326616,519,200
Cyprus,Europe,875899,3,1
Czechia,Europe,10708982,180,80
Denmark,Europe,5792203,6,2
Djibouti,Africa,988002,356,201
Dominica,North America,71991,14,4
Dominican Republic,North America,10847904,1919,939
Ecuador,South America,17643060,1183,476
Egypt,Africa,102334403,1637,73
El Salvador,North America,6486201,1877,618
Equatorial Guinea,Africa,1402985,599,84
Eritrea,Africa,3546427,4036,3936
Estonia,Europe,1326539,212,40
Eswatini,Africa,1160164,753,482
Ethiopia,Africa,114963583,112716,67827
Fiji,Oceania,896444,464,302
Finland,Europe,5540718,10,2
France,Europe,65273512,109,37
Gabon,Africa,2225728,486,69
Gambia,Africa,2416664,1397,1493
Georgia,Europe,3989175,4587,1594
Germany,Europe,83783945,70,30
Ghana,Africa,31072945,14567,11065
Greece,Europe,10423056,126,41
Grenada,North America,112519,9,2
Guatemala,North America,17915567,7459,5296
Guinea,Africa,13132792,15978,13752
Guinea-Bissau,Africa,1874000,1928,1639
Guyana,South America,786559,164,55
Haiti,North America,11402533,10743,12151
Honduras,North America,9904608,2953,3875
Hungary,Europe,9660350,2512,1347
Iceland,Europe,341250,0,0
India,Asia,1380004385,980037,606890
Indonesia,Asia,273523621,105906,76867
Iran,Asia,83992953,1683,97
Iraq,Asia,40222503,2421,64
Ireland,Europe,4937796,10,2
Israel,Asia,8655541,9,4
Italy,Europe,60461828,365,121
Jamaica,North America,2961161,396,199
Japan,Asia,126476458,236,95
Jordan,Asia,10203140,9,2
Kazakhstan,Asia,18776707,6058,1424
Kenya,Africa,53771300,21683,22109
"Korea, South",Asia,51640000,0,0
Kosovo,Europe,1932774,0,0
Kuwait,Asia,4270563,3,1
Kyrgyzstan,Asia,6524191,3498,1432
Laos,Asia,7275556,9472,6332
Latvia,Europe,1886202,312,104
Lebanon,Asia,6825442,120,10
Lesotho,Africa,2142252,2074,1633
Liberia,Africa,5057677,4093,2714
Libya,Africa,6871287,80,8
Liechtenstein,Europe,38137,0,0
Lithuania,Europe,2722291,247,61
Luxembourg,Europe,625976,1,0
Madagascar,Africa,27691019,21568,21459
Malawi,Africa,19129955,17240,12379
Malaysia,Asia,32365998,290,111
Maldives,Asia,540542,95,23
Mali,Africa,20250834,18933,22580
Malta,Europe,441539,2,0
Mauritania,Africa,4649660,2045,1208
Mauritius,Africa,1271767,70,14
Mexico,North America,128932753,10926,9854
Moldova,Europe,4033963,2962,282
Monaco,Europe,39244,0,0
Mongolia,Asia,3278292,2182,1009
Montenegro,Europe,628062,225,168
Morocco,Africa,36910558,8311,1679
Mozambique,Africa,31255435,26192,25017
Namibia,Africa,2540916,1416,775
Nepal,Asia,29136808,29750,21603
Netherlands,Europe,17134873,21,6
New Zealand,Oceania,4822233,8,3
Nicaragua,North America,6624554,1915,1735
Niger,Africa,24206636,25239,26507
Nigeria,Africa,206139587,197167,128259
North Macedonia,Europe,2083380,993,535
Norway,Europe,5421242,5,1
Oman,Asia,5106622,110,6
Pakistan,Asia,220892331,175104,116090
Panama,North America,4314768,299,154
Papua New Guinea,Oceania,8947027,7518,11169
Paraguay,South America,7132530,1720,1193
Peru,South America,32971846,5433,2439
Philippines,Asia,109581085,33502,42675
Poland,Europe,37846605,6783,2808
Portugal,Europe,10196707,235,34
Qatar,Asia,2881060,0,0
Romania,Europe,19237682,8802,2434
Russia,Europe,145934460,12383,2448
Rwanda,Africa,12952209,10591,7468
Saint Kitts and Nevis,North America,53192,3,1
Saint Lucia,North America,183629,18,5
Saint Vincent and the Grenadines,North America,110947,13,4
San Marino,Europe,33938,0,0
Sao Tome and Principe,Africa,219161,150,87
Saudi Arabia,Asia,34813867,851,37
Senegal,Africa,16743930,8458,9075
Serbia,Europe,6804596,5758,1969
Seychelles,Africa,98340,1,0
Sierra Leone,Africa,7976985,8986,7813
Singapore,Asia,5850343,15,2
Slovakia,Europe,5459643,90,34
Slovenia,Europe,2078932,145,62
Somalia,Africa,15893219,20139,27553
South Africa,Africa,59308690,16083,4590
South Sudan,Africa,11193729,9565,7678
Spain,Europe,46754783,638,178
Sri Lanka,Asia,21413250,9026,6643
Sudan,Africa,43849269,29775,11310
Suriname,South America,586634,102,47
Sweden,Europe,10099270,13,3
Switzerland,Europe,8654618,4,1
Syria,Asia,17500657,226,18
Taiwan,Asia,23816775,1357,492
Tajikistan,Asia,9537642,5286,2607
Tanzania,Africa,56320000,42184,39165
Thailand,Asia,69799978,15708,7449
Togo,Africa,8278737,4869,5060
Trinidad and Tobago,North America,1399491,6,1
Tunisia,Africa,11818618,341,21
Turkey,Asia,84339067,2090,236
Uganda,Africa,45741000,28075,23001
Ukraine,Europe,43733759,7814,2728
United Arab Emirates,Asia,9890400,1,0
United Kingdom,Europe,67886004,37,12
United States,South America,3473727,310,150
Uruguay,North America,331002647,161,53
Uzbekistan,Asia,33469199,8532,3164
Venezuela,South America,28435943,227,88
Vietnam,Asia,97338583,51626,33247
West Bank and Gaza,Asia,4430000,0,0
Western Sahara,Africa,597330,0,0
Yemen,Asia,29825968,15659,9709
Zambia,Africa,18383956,11701,8822
Zimbabwe,Africa,14862927,7589,10019
